req_freq_per_min,failed_login_count,unique_dest_ports,unique_usernames,bytes_transferred_kb,http_err_ratio,hour_of_day,label
5.0,1.0,2.0,1.0,16.237987433460468,0.054597780492727316,8.0,1
4.0,0.0,2.0,1.0,4.601103822688255,0.27964677352327677,18.0,1
4.0,0.0,1.0,1.0,12.22455047610777,0.043690838977933646,7.0,1
5.0,0.0,1.0,1.0,11.509059093955223,0.02032500445812451,14.0,1
5.0,0.0,2.0,1.0,26.4550028627959,0.00832235530109877,7.0,1
3.0,0.0,1.0,1.0,5.273351342681329,0.09540071279366151,11.0,1
5.0,0.0,1.0,1.0,35.50498528571268,0.03080459908946155,11.0,1
4.0,0.0,1.0,1.0,8.894430364595602,0.005473279089006671,7.0,1
6.0,0.0,2.0,1.0,12.739330596972522,0.0653788525337811,15.0,1
7.0,1.0,1.0,1.0,30.598125524585694,0.07774621160004978,11.0,1
2.0,0.0,4.0,1.0,20.6375240021133,0.3749792030054615,15.0,1
5.0,0.0,2.0,1.0,8.364119191749966,0.06400709762886685,17.0,1
5.0,0.0,4.0,1.0,10.761818029277965,0.030780585864624732,12.0,1
6.0,0.0,2.0,1.0,8.299523623876107,0.0005847786976344394,13.0,1
4.0,0.0,1.0,1.0,19.066017692631725,0.09502664250780386,13.0,1
6.0,0.0,3.0,1.0,9.088049454309058,0.034788171561281556,8.0,1
6.0,0.0,3.0,1.0,26.87048954150271,0.049923223118793617,11.0,1
1.0,1.0,3.0,1.0,18.339878615800778,0.0362800431144618,8.0,1
7.0,0.0,2.0,1.0,4.149611964577305,0.10753508855363696,10.0,1
2.0,0.0,2.0,1.0,8.429061192466197,0.07448024852464306,18.0,1
11.0,0.0,2.0,1.0,6.0063755597937085,0.06601514409503084,9.0,1
4.0,0.0,1.0,1.0,10.896198337626123,0.0045338704560903675,18.0,1
3.0,0.0,2.0,1.0,15.51274986146622,0.045165317448490803,19.0,1
8.0,0.0,4.0,1.0,15.135304017693052,0.01655969594438942,17.0,1
3.0,0.0,1.0,1.0,29.091095572228014,0.017947617116631818,12.0,1
3.0,0.0,1.0,1.0,5.193983259716157,0.048686756403498926,17.0,1
5.0,0.0,3.0,1.0,59.55131780800243,0.12747334513977057,11.0,1
8.0,1.0,2.0,1.0,9.39671060227803,0.00014108635010953214,7.0,1
3.0,0.0,6.0,1.0,8.140610054735086,0.04625062396068849,8.0,1
2.0,0.0,4.0,1.0,24.114994315426646,0.06381885138647148,19.0,1
5.0,0.0,1.0,1.0,33.74817228185921,0.16864438083820238,13.0,1
3.0,0.0,3.0,1.0,10.511478767063668,0.0010119898933623273,15.0,1
8.0,0.0,2.0,1.0,28.475222615634216,0.008176761484152613,7.0,1
10.0,0.0,2.0,1.0,44.037828687590284,0.1725952513805351,10.0,1
3.0,0.0,1.0,1.0,30.117490832805597,0.0013619517365137152,17.0,1
2.0,0.0,3.0,1.0,1.6958973334098697,0.39132192261170096,9.0,1
5.0,1.0,3.0,1.0,36.13196794010779,0.008438534096238329,18.0,1
7.0,0.0,2.0,1.0,30.7870136432067,0.48694651463263033,18.0,1
6.0,0.0,2.0,1.0,23.13028281383167,0.03165724544684567,17.0,1
6.0,1.0,2.0,1.0,29.544195457393275,0.014748446871893715,19.0,1
2.0,1.0,2.0,1.0,78.67395542188825,0.0004856351763373554,11.0,1
4.0,0.0,2.0,1.0,12.281465228157455,0.10948464608367138,11.0,1
9.0,0.0,1.0,1.0,2.391787450479339,0.0536811528200281,19.0,1
7.0,0.0,2.0,1.0,13.356711818489794,0.04208152709613565,18.0,1
11.0,0.0,2.0,1.0,1.950925525588852,1.652541560148633e-05,16.0,1
8.0,0.0,3.0,1.0,7.969895801648887,0.4662689479871269,16.0,1
3.0,0.0,2.0,1.0,18.680333346927007,7.71975687366786e-06,17.0,1
2.0,0.0,1.0,1.0,8.410345973879384,0.1436896117299085,8.0,1
3.0,0.0,2.0,1.0,24.128763538644193,0.019439035051721707,11.0,1
4.0,0.0,2.0,1.0,35.51789841770942,0.07093820456330618,10.0,1
5.0,0.0,3.0,1.0,11.90969335842094,0.20965158907182158,19.0,1
5.0,0.0,2.0,1.0,47.07931116656093,0.3356134856826012,7.0,1
4.0,0.0,2.0,1.0,2.6641309928738695,0.007979889935425285,18.0,1
3.0,0.0,2.0,1.0,37.665779804779376,0.13991333501583503,7.0,1
8.0,0.0,3.0,1.0,36.27197214748173,0.003266570900087824,7.0,1
2.0,0.0,3.0,1.0,8.771979772287303,0.15934034175345035,14.0,1
1.0,0.0,2.0,1.0,8.096823586967709,0.03968158080537796,9.0,1
4.0,0.0,2.0,1.0,8.279602125737803,0.02640249968803243,15.0,1
5.0,1.0,3.0,1.0,34.36187141523347,0.0006976424039597933,16.0,1
4.0,1.0,3.0,1.0,36.63461700029834,0.10892739555425425,8.0,1
3.0,0.0,1.0,1.0,9.001268236306755,0.047099035993452595,15.0,1
4.0,1.0,1.0,1.0,18.958721648060077,0.1939752322127894,17.0,1
8.0,0.0,2.0,1.0,3.9916645510033275,0.05958763755761343,15.0,1
2.0,0.0,2.0,1.0,13.651533115890718,0.030653681782855064,10.0,1
2.0,2.0,2.0,1.0,135.38987556504176,0.07554791532031244,10.0,1
2.0,0.0,4.0,1.0,4.459447483319153,0.04806669746275288,10.0,1
7.0,0.0,1.0,1.0,59.962719276832786,0.03672790777323892,18.0,1
6.0,0.0,1.0,1.0,35.77439232326028,0.32286365049065424,7.0,1
7.0,0.0,2.0,1.0,72.66492819322345,0.10626008683955418,11.0,1
6.0,0.0,2.0,1.0,4.958747281067364,0.058507657076584285,19.0,1
7.0,0.0,3.0,1.0,5.80372133083873,0.005763631918394081,12.0,1
6.0,0.0,2.0,1.0,1.3402210547652358,0.0774449436350849,10.0,1
4.0,0.0,2.0,1.0,26.798009041834952,0.10044317270568703,14.0,1
2.0,0.0,4.0,1.0,21.66181152621479,0.4681774840740547,9.0,1
3.0,1.0,2.0,1.0,4.921889915249052,0.00118980219468171,17.0,1
4.0,0.0,2.0,1.0,32.32229765426723,0.06599273304137727,15.0,1
7.0,0.0,1.0,1.0,8.110526537944935,0.055977247903602784,19.0,1
4.0,0.0,1.0,1.0,3.900412998045211,0.01039833479968871,13.0,1
3.0,1.0,1.0,1.0,11.983107066598627,0.05398993431013208,14.0,1
2.0,0.0,3.0,1.0,2.9075403061461804,0.026919713747825934,13.0,1
6.0,0.0,2.0,1.0,7.109960939632979,0.02792542839408504,15.0,1
3.0,0.0,1.0,1.0,10.283082887461799,0.004119033290722779,8.0,1
5.0,1.0,2.0,1.0,39.19251372628858,0.0020710009597385798,10.0,1
9.0,0.0,1.0,1.0,32.457177294057004,0.28461609156633505,8.0,1
6.0,0.0,1.0,1.0,12.694979952792409,0.06288879075096528,14.0,1
6.0,0.0,2.0,1.0,26.788802588813084,0.2129311949385784,8.0,1
9.0,0.0,2.0,1.0,17.816692200252,0.0021524699432433213,14.0,1
4.0,0.0,1.0,1.0,9.335835922995154,0.12046446058111832,12.0,1
9.0,0.0,2.0,1.0,26.883373546738216,0.001788023175371979,13.0,1
2.0,0.0,4.0,1.0,24.008587317784816,0.00429972244596069,17.0,1
10.0,0.0,2.0,1.0,20.304076287118768,0.16916243972135306,19.0,1
6.0,0.0,2.0,1.0,20.244364801885535,0.03716540431255185,12.0,1
9.0,1.0,3.0,1.0,23.975934003575627,0.05924109924433948,18.0,1
4.0,1.0,4.0,1.0,10.707885605424508,0.029779833167308978,15.0,1
1.0,0.0,1.0,1.0,41.66273728582027,0.0573456366902394,10.0,1
6.0,0.0,2.0,1.0,4.542092067733119,0.0485931276669633,7.0,1
8.0,0.0,4.0,1.0,44.063563783023966,0.004149420570680931,15.0,1
6.0,0.0,2.0,1.0,9.379575445858421,0.05685293815134912,19.0,1
2.0,0.0,2.0,1.0,3.6713505080288713,0.021068886643373884,16.0,1
3.0,0.0,4.0,1.0,19.327184818373418,0.04244999192830169,14.0,1
5.0,0.0,2.0,1.0,10.431670943433739,0.31888324215380853,7.0,1
